timestamp,src_ip,dst_ip,src_port,dst_port,protocol,pkt_size,elephant
1695751776.7262104,10.0.0.3,10.0.0.4,53456,38775,17,760,1
1695751776.818319,10.0.0.3,10.0.0.4,53456,38775,17,1482,1
1695751776.8943398,10.0.0.3,10.0.0.4,53456,38775,17,634,1
1695751776.9784186,10.0.0.3,10.0.0.4,53456,38775,17,1219,1
1695751777.0863802,10.0.0.3,10.0.0.4,53456,38775,17,275,1
1695751778.1464438,10.0.0.2,10.0.0.4,80,46130,6,450,0
1695751778.214424,10.0.0.4,10.0.0.5,59528,443,6,54,1
1695751779.2743523,10.0.0.2,10.0.0.4,80,46130,6,59,0
1695751779.3623843,10.0.0.4,10.0.0.2,80,57777,17,63,1
1695751779.438447,10.0.0.4,10.0.0.2,80,57777,17,63,1
1695751780.5022256,10.0.0.1,10.0.0.4,51915,80,6,66,0
1695751781.5782213,10.0.0.5,10.0.0.4,443,49423,6,1490,1
1695751782.6545725,10.0.0.5,10.0.0.4,443,49423,6,4338,1
1695751783.7426984,10.0.0.5,10.0.0.4,443,49423,6,2914,1
1695751784.8023365,10.0.0.5,10.0.0.4,443,49423,6,493,1
1695751785.866363,10.0.0.5,10.0.0.4,443,49423,6,1458,1
1695751786.9422429,10.0.0.5,10.0.0.4,443,49423,6,1458,1
1695751788.0023234,10.0.0.5,10.0.0.4,443,49423,6,715,1
1695751788.0983639,10.0.0.1,10.0.0.2,445,52590,6,66,0
1695751788.1982057,10.0.0.1,10.0.0.2,445,52590,6,66,0
1695751788.2823281,10.0.0.5,10.0.0.4,1707,15758,17,244,1
1695751788.3743982,10.0.0.5,10.0.0.4,1707,15758,17,180,1
1695751788.450281,10.0.0.4,10.0.0.2,80,57777,17,63,1
1695751788.5224075,10.0.0.5,10.0.0.4,1707,15758,17,116,1
1695751788.6063712,10.0.0.5,10.0.0.4,1707,15758,17,116,1
1695751788.6783383,10.0.0.5,10.0.0.4,1707,15758,17,116,1
1695751788.8063595,10.0.0.5,10.0.0.4,1707,15758,17,116,1
1695751789.855313,10.0.0.4,10.0.0.2,37254,80,6,66,1
1695751790.939246,10.0.0.4,10.0.0.2,37254,80,6,66,1
1695751792.0142498,10.0.0.4,10.0.0.2,37254,80,6,66,1
1695751793.074407,10.0.0.4,10.0.0.2,37254,80,6,66,1
1695751794.150302,10.0.0.4,10.0.0.2,37254,80,6,66,1
1695751795.2304003,10.0.0.4,10.0.0.2,37254,80,6,66,1
1695751795.3384118,10.0.0.4,10.0.0.2,37254,80,6,66,1
